tid,title,topic
6578153846,#求助建议#之前在移动营业厅买手机，推荐我买了一个400元的,0
7840791620,#华为P50#p50e和荣耀V30pro怎么选,4
8614578856,【公告】华为吧小吧招募,3
8656067267,这么恶心吗，纯净模式不能退出,3
9103879536,任何所谓的“京东优惠xxx““京东xx活动”都是骗子一律不要信,3
9275222514,mate70设计江郎才尽？大圆环设计太没有辨识度了,0
9431915377,麒麟9020的日常续航连骁龙7+Gen3都不如，是怎么敢吹的？,2
9465276496,经验+3😋,0
9753232291,升级了鸿蒙5,2
9867964150,定了！麒麟9030！,4
9882529795,说实话，华为的名都被海孝子败光了,0
9883986388,跳过开屏+弹窗广告的软件，李跳跳,2
9887029093,视频在此，打钱,4
9895560696,技术贴！！！请技术大虾鉴定,3
9897969816,高通称 Wi-Fi 8 将专注于稳定性而非速度。,3
9898348596,鸿蒙5无法安装jm3,4
9899238779,为了安全，连爱国都不要了吗,5
9910482264,千万别买pura 80pro＋,1
9911573903,29包一年会员,1
9913618586,华为主题商店完全看不了。,3
9913883612,为何没有为为？？,2
9914364326,华为手机内存莫名其妙就满了，怎么回事？,3
9914639608,求助贴  HUAWEI   4G  5G讨论,4
9916419439,"主包要吃华为全家桶了,求教,计算机类新生",5
9916563966,求助，崩溃了,0
9918777541,华为重大bug从不告知消费者，用系统霸凌消费者。,3
9918994988,求助，刚买的p80网易云音乐播放没有声音,5
9919238477,华为平板价格,3
9919707471,华为purax. 怎么删贴吧帖子啊 不能删吗,2
9919906162,手机小白求助，感谢各位老哥！,4
9920999986,求助各位大佬,2
9921315708,小白求助，各位彦祖们,2
9921359169,华为watch4中间有条亮线怎么办？,0
9921535903,无语了华为,1
9921880116,求解华为平板,0
9921908289,华为m80到底能买吗？,0
9921930312,准大一买华为手机推荐,5
9921947991,手机摔了导致内屏失灵,4
9921997597,求助建议，,3
9922205387,请问定制机安装包怎么去除,5
9922320096,遥遥领先  不予置评,2
9922325562,华为位置共享能修改吗,5
9922464102,平板选择求助？,2
